ime,drzava,zivljenska_doba,visina,velikost,popularnost,cena
Labrador Retriever,Canada,10,22,Medium,1,2000
German Shepherd,Germany,10,24,Medium,2,2000
Golden Retriever,United Kingdom,10,22,Medium,3,2000
French Bulldog,France,10,12,Small,4,4000
Bulldog,United Kingdom,8,12,Medium,5,2000
Beagle,United Kingdom,12,14,Small,6,800
Poodle (Standard),France,12,15,Medium,7,1500
Rottweiler,Germany,8,24,Medium,8,2000
Yorkshire Terrier,United Kingdom,12,20,Small,9,1000
German Shorthaired Pointer,Germany,12,23,Medium,10,800
Boxer,Germany,10,22,Medium,11,1200
Siberian Husky,Russia,12,21,Medium,12,1200
"Dachshund (Toy, Miniature, Standard)",Germany,12, 12,Small,13,700
Great Dane,Germany,7,30,Giant,14,1200
Pembroke Welsh Corgi,United Kingdom,12,10,Small,15,1000
Doberman Pinscher,Germany,10,26,Medium,16,1000
Australian Shepherd,United States,12,20,Medium,17,800
Miniature Schnauzer,Germany,12,14,Small,18,1000
Cavalier King Charles Spaniel,United Kingdom,10,12,Small,19,1500
Shih Tzu,China,10,8,Small,20,1200
Boston Terrier,United States,12,15,Small,21,800
Pomeranian,Germany,12,7,Small,22,800
Havanese,Cuba,14,8,Small,23,1200
Shetland Sheepdog,United Kingdom,12,13,Small,24,1000
Bernese Mountain Dog,Switzerland,7,24,Large,25,1000
Brittany,France,12,17,Medium,26,800
English Springer Spaniel,United Kingdom,10,19,Medium,27,800
Mastiff,United Kingdom,10,30,Giant,28,1500
American Cocker Spaniel,United States,12,15,Medium,29,800
Vizsla,Hungary,10,22,Medium,30,1200
Pug,China,12,12,Small,31,500
Chihuahua,Mexico,14,6,Small,32,800
Maltese,Italy,15,8,Small,33,800
Weimaraner,Germany,10,24,Medium,34,2000
Miniature American Shepherd,United States,13,14,Small,35,1000
Newfoundland,United Kingdom,9,27,Large,36,2000
Cane Corso,Italy,10,24,Large,37,2000
Border Collie,United Kingdom,12,19,Medium,38,800
Basset Hound,France,10,12,Medium,39,500
Collie,United Kingdom,14,24,Large,40,600
Rhodesian Ridgeback,Zimbabwe,10,25,Large,41,1200
West Highland White Terrier,United Kingdom,12,10,Small,42,1200
Chesapeake Bay Retriever,United States,10,23,Large,43,900
Belgian Malinois,Belgium,12,/,Medium,44,800
Shiba Inu,Japan,12,14,Medium,45,1000
Bichon Frise,France,12,9,Small,46,1000
Akita,Japan,10,26,Large,47,1200
St. Bernard (Saint Bernard),Italy,8,25.5,Giant,48,1800
Soft Coated Wheaten Terrier,Ireland,12,18,Medium,49,1000
Bloodhound,United Kingdom,10,25,Large,50,1200
Bullmastiff,United Kingdom,8,25,Large,51,1500
English Cocker Spaniel,United Kingdom,12,15,Medium,52,1200
Papillon,France,13,8,Small,53,600
Portuguese Water Dog,Portugal,10,20,Medium,54,2800
Airedale Terrier,United Kingdom,10,22,Medium,55,800
Australian Cattle Dog,Australia,12,17,Medium,56,700
Samoyed,Russia,12,21,Medium,57,1500
Scottish Terrier,United Kingdom,11,10,Small,58,1000
Alaskan Malamute,United States,12,24 ,Large,59,1500
Bull Terrier,United Kingdom,10,20,Medium,60,1500
Whippet,United Kingdom,12,19 ,Medium,61,1200
German Wirehaired Pointer,Germany,12,24,Medium,62,900
Dalmatian,United Kingdom,12,22 ,Large,63,900
Chinese Shar-Pei,China,8,18,Medium,64,1200
Wirehaired Pointing Griffon,France,12,20,Medium,65,800
Great Pyrenees,France,10,27,Giant,66,900
Dogue de Bordeaux,France,10,23,Large,67,1300
Cardigan Welsh Corgi,United Kingdom,12,10,Medium,68,1200
Cairn Terrier,United Kingdom,12,10,Small,69,1000
Old English Sheepdog,United Kingdom,10,22,Large,70,1500
Miniature Pinscher,Germany,12,10,Small,71,600
